matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
KR_6097330947,1960,False,39,Irelia,MIDDLE,MIDDLE,SOLO,Blue,1,1,1,5,7,7,4,16,12111,16,194,13660,1875,17185,35978,11973,17,211,4700,9,80,3347,8,61
KR_4950525522,1961234,True,37552700,Sion,TOP,TOP,SOLO,Red,3,1,1,7,7,5,20,19,12778,16,150,3272,1866,27909,35977,9975,15,26,4286,9,71,3560,6,53
KR_4896635991,1790343,True,37683774,Morgana,MIDDLE,MIDDLE,SOLO,Red,3,2,0,9,4,2,9,24,11006,15,181,11613,2941,21743,15362,9167,14,204,3149,9,77,3442,9,86
KR_5901248249,1831,False,106,Volibear,JUNGLE,JUNGLE,NONE,Blue,2,0,0,6,0,9,3,15,9366,14,29,11047,1174,9522,30191,11202,16,172,3467,7,72,3505,8,78
KR_6054716891,1321,False,161,Velkoz,MIDDLE,MIDDLE,SOLO,Red,2,0,0,2,5,4,0,18,8115,12,160,3333,222,14064,11847,8281,13,129,3815,9,98,3144,8,77
KR_5149943153,1847347,False,35,Shaco,JUNGLE,JUNGLE,NONE,Red,1,0,0,0,4,11,6,11,9162,13,30,1948,0,6742,29072,14326,17,28,3104,6,51,4112,8,71
KR_6089828046,1664,False,121,Khazix,JUNGLE,JUNGLE,NONE,Red,0,0,0,1,5,8,6,21,11284,13,20,4486,0,12516,29870,10272,14,8,3794,7,56,3243,6,49
KR_5712906978,1887,False,101,Xerath,UTILITY,BOTTOM,SUPPORT,Red,0,0,0,0,5,10,7,23,9265,14,41,697,200,18090,21674,13235,16,148,3832,7,2,3619,7,62
KR_6049083601,1499,False,11,MasterYi,JUNGLE,JUNGLE,NONE,Blue,0,1,0,3,8,6,4,13,11540,12,33,15245,0,11300,19622,14079,15,40,4895,7,46,4698,8,66
KR_5677245797,2252,False,91,Talon,MIDDLE,MIDDLE,SOLO,Blue,3,0,0,4,9,6,6,30,15031,17,203,10332,2148,25946,35196,12673,16,171,4097,8,81,3167,9,80
KR_6045003302,2514,True,64,LeeSin,JUNGLE,JUNGLE,NONE,Red,2,0,2,11,8,7,18,44,18052,18,71,18140,908,31391,46606,17623,18,43,4440,7,48,3648,5,33
KR_5043013298,1215464,True,81,Ezreal,BOTTOM,BOTTOM,CARRY,Blue,2,1,0,4,7,3,1,19,9859,11,176,7746,4272,14137,8013,8087,10,151,5080,7,93,4089,6,80
KR_5532255727,1881,False,111,Nautilus,UTILITY,BOTTOM,SUPPORT,Blue,2,0,0,7,2,4,7,61,7326,13,31,360,360,9771,15713,8944,15,40,2270,6,14,2168,6,14
KR_6016996738,959,True,145,Kaisa,BOTTOM,NONE,SUPPORT,Red,1,1,0,9,13,3,3,9,10673,10,126,6360,5401,17651,8789,5214,9,96,5758,7,74,3413,6,50
KR_6097283699,1409,True,13,Ryze,MIDDLE,MIDDLE,SOLO,Red,2,2,1,9,4,3,7,15,11170,15,190,8428,3252,10904,12016,5568,10,36,3841,9,80,2690,6,19
KR_6083681873,1664,True,67,Vayne,BOTTOM,BOTTOM,CARRY,Red,2,2,1,9,14,7,9,31,14587,14,169,15130,6172,31977,17709,14787,13,181,5185,7,86,4058,6,65
KR_5769598417,1159,False,5,XinZhao,JUNGLE,NONE,SUPPORT,Red,0,1,0,0,1,3,0,12,5587,10,20,9786,254,5553,13860,7132,11,13,3422,7,57,3822,7,50
KR_5126688705,1417880,True,498,Xayah,BOTTOM,BOTTOM,CARRY,Red,3,2,0,10,7,4,6,12,11453,13,173,10804,9945,11545,13190,8146,12,143,4842,7,81,2976,6,65
KR_5459609356,2008947,False,236,Lucian,BOTTOM,BOTTOM,CARRY,Blue,2,0,0,1,7,8,5,24,12695,14,216,3102,1377,16994,26225,16879,17,243,4361,7,63,4185,7,73
