matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
EUW1_5687307199,2084,False,42,Corki,MIDDLE,TOP,DUO,Red,1,1,0,3,2,8,3,26,13127,16,240,3072,2561,31064,20895,15175,18,204,3462,8,82,4088,10,72
EUW1_5853386849,2675,False,86,Garen,TOP,TOP,SOLO,Red,4,0,1,6,8,6,12,39,18369,18,255,14185,7421,36850,45379,17951,18,191,3646,9,73,3261,9,82
EUW1_5653569461,1718,False,63,Brand,UTILITY,BOTTOM,SUPPORT,Red,0,0,0,2,6,7,7,42,8839,13,31,1247,1247,25910,13893,8761,15,37,3021,6,11,2772,7,17
EUW1_5413485151,1595625,False,223,TahmKench,TOP,TOP,SOLO,Red,0,1,0,1,4,5,9,18,9726,14,159,3543,2571,11626,26291,8534,14,130,4709,9,79,2183,6,30
EUW1_6033696180,2145,True,28,Evelynn,JUNGLE,JUNGLE,NONE,Red,5,1,1,10,12,4,9,46,15429,18,53,39208,2065,34751,35235,7535,13,14,4285,7,62,2559,5,38
EUW1_5347215398,1927348,True,360,Samira,BOTTOM,BOTTOM,CARRY,Blue,4,1,1,10,14,11,9,12,16290,16,146,10160,3891,31842,31767,15540,16,190,4180,6,49,4809,7,75
EUW1_5860796717,1523,False,9,FiddleSticks,JUNGLE,JUNGLE,NONE,Red,0,0,0,2,3,7,6,38,8287,13,29,3750,0,12029,28911,14251,16,35,4039,9,74,4501,8,71
EUW1_5689950763,626,True,145,Kaisa,BOTTOM,NONE,DUO,Blue,0,1,0,0,3,1,2,3,3623,5,51,18,18,3533,4289,3712,6,35,3623,5,51,3712,6,35
EUW1_5951870796,1562,True,62,MonkeyKing,JUNGLE,JUNGLE,NONE,Blue,3,1,1,7,1,4,5,41,8089,13,15,14919,717,6801,22610,11481,13,29,3264,7,71,3906,7,63
EUW1_5767364953,2024,True,526,Rell,UTILITY,BOTTOM,SUPPORT,Blue,3,0,1,9,3,9,25,68,9979,16,40,1373,603,9118,27012,8001,14,17,3025,6,19,2227,6,3
EUW1_5980196625,1437,True,19,Warwick,JUNGLE,JUNGLE,NONE,Blue,3,1,0,10,8,3,5,18,10815,14,33,22593,879,12034,28432,9111,11,30,4176,7,63,4087,7,57
